Original	Chinese	English
ドラマ	剧情	Drama
アクション	动作	Action
コメディ	喜剧	Comedy
ドキュメンタリー	纪录片	Documentary
ファンタジー	奇幻	Fantasy
SF	科幻	Science Fiction
サスペンス	悬疑	Suspense
旅行	旅行	Travel
アニメーション	动画	Animation
アドベンチャー	冒险	Adventure
ミステリー	推理	Mystery
ホラー	恐怖	Horror
ロマンス	爱情	Romance
ファミリー	家庭	Family
歴史	历史	History
音楽	音乐	Music
戦争	战争	War
西部劇	西部	Western
短編	短片	Short
Drama	剧情	Drama
Action	动作	Action
Comedy	喜剧	Comedy
Documentary	纪录片	Documentary
Fantasy	奇幻	Fantasy
Science Fiction	科幻	Science Fiction
Suspense	悬疑	Suspense
Travel	旅行	Travel
Animation	动画	Animation
Adventure	冒险	Adventure
Mystery	推理	Mystery
Horror	恐怖	Horror
Romance	爱情	Romance
Family	家庭	Family
History	历史	History
Music	音乐	Music
War	战争	War
Western	西部	Western
Short	短片	Short
剧情	剧情	Drama
动作	动作	Action
喜剧	喜剧	Comedy
纪录片	纪录片	Documentary
奇幻	奇幻	Fantasy
科幻	科幻	Science Fiction
悬疑	悬疑	Suspense
动画	动画	Animation
冒险	冒险	Adventure
推理	推理	Mystery
恐怖	恐怖	Horror
爱情	爱情	Romance
家庭	家庭	Family
历史	历史	History
音乐	音乐	Music
战争	战争	War
西部	西部	Western
短片	短片	Short
